-5 0.999992
-4.89899 0.796604
-4.79798 0.686293
-4.69697 0.643306
-4.59596 0.646959
-4.49495 0.680901
-4.39394 0.732457
-4.29293 0.792047
-4.19192 0.852662
-4.09091 0.909413
-3.9899 0.959126
-3.88889 0.999993
-3.78788 1.03127
-3.68687 1.05303
-3.58586 1.06591
-3.48485 1.07096
-3.38384 1.06947
-3.28283 1.06286
-3.18182 1.05257
-3.08081 1.03995
-2.9798 1.02628
-2.87879 1.01266
-2.77778 0.999997
-2.67677 0.989016
-2.57576 0.980229
-2.47475 0.973955
-2.37374 0.970322
-2.27273 0.969293
-2.17172 0.970678
-2.07071 0.974166
-1.9697 0.979347
-1.86869 0.985735
-1.76768 0.992801
-1.66667 0.999992
-1.56566 1.00676
-1.46465 1.01257
-1.36364 1.01696
-1.26263 1.01948
-1.16162 1.0198
-1.06061 1.01765
-0.959596 1.01284
-0.858586 1.00531
-0.757576 0.995053
-0.656566 0.982194
-0.555556 0.966924
-0.454545 0.949522
-0.353535 0.93034
-0.252525 0.909786
-0.151515 0.888319
-0.0505051 0.866429
0.0505051 0.84462
0.151515 0.8234
0.252525 0.803261
0.353535 0.784663
0.454545 0.768019
0.555556 0.753685
0.656566 0.741943
0.757576 0.732991
0.858586 0.726939
0.959596 0.723797
1.06061 0.723477
1.16162 0.725789
1.26263 0.730448
1.36364 0.737077
1.46465 0.745215
1.56566 0.754336
1.66667 0.763858
1.76768 0.773165
1.86869 0.781628
1.9697 0.788628
2.07071 0.793583
2.17172 0.795973
2.27273 0.795367
2.37374 0.791453
2.47475 0.784063
2.57576 0.773194
2.67677 0.759033
2.77778 0.741972
2.87879 0.722617
2.9798 0.701791
3.08081 0.680528
3.18182 0.660052
3.28283 0.64175
3.38384 0.627122
3.48485 0.617714
3.58586 0.615036
3.68687 0.62045
3.78788 0.635033
3.88889 0.659414
3.9899 0.693572
4.09091 0.736602
4.19192 0.78644
4.29293 0.839536
4.39394 0.890492
4.49495 0.931628
4.59596 0.952511
4.69697 0.9394
4.79798 0.874634
4.89899 0.735947
5 0.495694
